"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"26 Sep 2025","fxn","5","520.97","0","0.00","0","0.00","0","0.00"
"26 Sep 2025","tnmw","4","328.03","0","0.00","0","0.00","0","0.00"
"26 Sep 2025","zg32","2","146.52","0","0.00","0","0.00","0","0.00"
"26 Sep 2025","fuj","1","128.68","0","0.00","0","0.00","0","0.00"
"26 Sep 2025","ost","1","69.60","0","0.00","0","0.00","0","0.00"
"26 Sep 2025","cnl","1","97.16","0","0.00","0","0.00","0","0.00"
"25 Sep 2025","fxn","15","1839.51","0","0.00","0","0.00","0","0.00"
"25 Sep 2025","fuj","5","1066.35","0","0.00","0","0.00","0","0.00"
"25 Sep 2025","tnmw","2","119.76","0","0.00","0","0.00","0","0.00"
"25 Sep 2025","df5","2","361.88","0","0.00","0","0.00","0","0.00"
"25 Sep 2025","ost","1","117.19","0","0.00","0","0.00","0","0.00"
"25 Sep 2025","qqq","1","60.83","0","0.00","0","0.00","0","0.00"
"25 Sep 2025","ck","1","90.38","0","0.00","0","0.00","0","0.00"
