"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"10 Oct 2025","fxn","5","855.95","0","0.00","0","0.00","0","0.00"
"10 Oct 2025","df5","4","469.43","0","0.00","0","0.00","0","0.00"
"10 Oct 2025","dd44","1","278.44","0","0.00","0","0.00","0","0.00"
"10 Oct 2025","fuj","1","60.97","0","0.00","0","0.00","0","0.00"
"09 Oct 2025","fxn","16","1688.27","0","0.00","0","0.00","0","0.00"
"09 Oct 2025","ost","3","187.31","0","0.00","0","0.00","0","0.00"
"09 Oct 2025","fuj","3","566.70","0","0.00","0","0.00","0","0.00"
"09 Oct 2025","tnmw","1","89.65","0","0.00","0","0.00","0","0.00"
"09 Oct 2025","dd44","1","67.41","0","0.00","0","0.00","0","0.00"
"09 Oct 2025","df5","1","69.49","0","0.00","0","0.00","0","0.00"
"09 Oct 2025","smna","1","414.28","0","0.00","0","0.00","0","0.00"
